pl_name,hostname,pl_orbsmax,pl_orbper,pl_orbeccen,pl_bmasse,pl_rade,st_mass,st_rad,st_teff
"Kepler-1403 b","Kepler-1403",0.0640000000,5.19492202000,0.000000,5.22000000,2.14000000,1.110000,1.150000,6060.00
"Kepler-1310 b","Kepler-1310",0.0145200000,0.67933627200,0.000000,2.67000000,1.44000000,0.910000,0.880000,5549.00
"Kepler-1312 b","Kepler-1312",0.0605300000,5.44832528600,0.000000,5.06000000,2.10000000,0.990000,0.920000,5719.00
"Kepler-1356 b","Kepler-1356",0.0136000000,0.63400293700,0.000000,2.96000000,1.53000000,0.820000,0.780000,5106.00
"Kepler-1050 c","Kepler-1050",0.1526400000,21.12845690000,0.000000,2.79000000,1.48000000,1.090000,1.130000,6010.00
"Kepler-1407 b","Kepler-1407",0.1502000000,20.07115040000,0.000000,5.69000000,2.25000000,1.100000,1.150000,6010.00
"Kepler-1313 b","Kepler-1313",0.0461900000,3.83309117800,0.000000,3.75000000,1.76000000,0.920000,0.850000,5453.00
"Kepler-1611 b","Kepler-1611",0.0586000000,5.17624290000,0.000000,0.45700000,0.81000000,0.940000,0.930000,5605.00
"Kepler-1463 b","Kepler-1463",0.1694000000,25.15864000000,0.000000,4.12000000,1.86000000,0.960000,0.950000,5679.00
"Kepler-1578 b","Kepler-1578",0.0252000000,1.45088690700,0.000000,1.12000000,1.04000000,0.900000,0.860000,5545.00
"Kepler-626 b","Kepler-626",0.1091300000,14.48585199000,0.000000,5.86000000,2.29000000,1.010000,1.050000,5813.00
"Kepler-1465 b","Kepler-1465",0.1939000000,31.82771110000,0.000000,3.78000000,1.77000000,0.750000,0.710000,4726.00
"Kepler-1466 b","Kepler-1466",0.1798100000,31.17504480000,0.000000,3.02000000,1.55000000,1.010000,1.020000,5884.00
"Kepler-1613 b","Kepler-1613",0.0275500000,1.51842990000,0.000000,4.98000000,2.08000000,1.080000,1.120000,6005.00
"Kepler-1468 c","Kepler-1468",0.0466000000,3.54553021000,0.000000,1.60000000,1.15000000,1.040000,1.050000,5893.00
"Kepler-1582 b","Kepler-1582",0.0316000000,4.83817712000,0.000000,2.83000000,1.49000000,0.280000,0.300000,3208.00
"Kepler-633 b","Kepler-633",0.0818500000,8.50340718000,0.000000,3.29000000,1.63000000,1.020000,1.150000,5899.00
"Kepler-1584 b","Kepler-1584",0.1168000000,13.39970990000,0.000000,3.22000000,1.61000000,1.100000,1.130000,6069.00
"Kepler-556 b","Kepler-556",0.0983300000,11.72292176000,0.000000,5.65000000,2.24000000,1.000000,0.980000,5740.00
"Kepler-629 b","Kepler-629",0.0710700000,7.23858540000,0.000000,2.48000000,1.38000000,0.930000,0.840000,5444.00
"Kepler-1470 b","Kepler-1470",0.1160000000,16.29509030000,0.000000,1.24000000,1.07000000,0.800000,0.760000,4961.00
"Kepler-1476 b","Kepler-1476",0.0932000000,10.35863224000,0.000000,3.43000000,1.67000000,0.980000,0.960000,5663.00
"Kepler-154 f","Kepler-154",0.0883200000,9.91935684000,0.000000,2.86000000,1.50000000,0.980000,0.980000,5769.00
"Kepler-1165 b","Kepler-1165",0.0914000000,9.47852200000,0.000000,3.02000000,1.55000000,1.130000,1.180000,6080.00
"Kepler-1587 b","Kepler-1587",0.0874700000,9.40604670000,0.000000,2.33000000,1.33000000,1.080000,1.220000,5933.00
"Kepler-579 b","Kepler-579",0.0854000000,9.66857723000,0.000000,4.66000000,2.00000000,0.990000,0.960000,5636.00
"Kepler-1619 b","Kepler-1619",0.1541300000,23.62259130000,0.000000,0.36300000,0.76000000,1.000000,1.000000,5852.00
"Kepler-132 e","Kepler-132",0.4392700000,110.28693740000,0.000000,1.76000000,1.18000000,1.030000,1.100000,6023.00
"Kepler-1471 b","Kepler-1471",0.0453000000,3.63899398000,0.000000,2.57000000,1.41000000,0.950000,0.930000,5660.00
"Kepler-1589 b","Kepler-1589",0.0205000000,0.99166527400,0.000000,1.32000000,1.09000000,1.180000,1.250000,6166.00
"Kepler-1473 b","Kepler-1473",0.1160600000,14.42735510000,0.000000,1.81000000,1.19000000,1.090000,1.090000,6046.00
"Kepler-1472 b","Kepler-1472",0.2322000000,38.13128310000,0.000000,4.27000000,1.90000000,1.160000,1.250000,6159.00
"Kepler-1474 b","Kepler-1474",0.2108000000,36.43334520000,0.000000,5.31000000,2.16000000,1.040000,1.040000,5870.00
"Kepler-1556 b","Kepler-1556",0.0829000000,8.82713457000,0.000000,4.50000000,1.96000000,0.970000,0.950000,5608.00
"Kepler-542 b","Kepler-542",0.1070300000,13.14497566000,0.000000,3.09000000,1.57000000,0.930000,0.900000,5526.00
"Kepler-1592 b","Kepler-1592",0.0400000000,3.05710069000,0.000000,2.99000000,1.54000000,1.180000,1.280000,6213.00
"Kepler-1623 b","Kepler-1623",0.0518000000,4.36128348000,0.000000,2.27000000,1.31000000,1.000000,1.000000,5772.00
"Kepler-1622 b","Kepler-1622",0.1013600000,10.81187370000,0.000000,2.76000000,1.47000000,1.310000,1.500000,6436.00
"Kepler-1477 b","Kepler-1477",0.0911000000,11.55530021000,0.000000,1.76000000,1.18000000,0.810000,0.780000,5100.00
"Kepler-1478 b","Kepler-1478",0.1681000000,26.08405940000,0.000000,3.64000000,1.73000000,1.040000,1.060000,5904.00
"Kepler-1558 b","Kepler-1558",0.0427800000,3.50470358000,0.000000,0.24400000,0.68000000,0.830000,0.790000,5101.00
"Kepler-1557 b","Kepler-1557",0.0490000000,3.74032496000,0.000000,2.96000000,1.53000000,1.110000,1.170000,6099.00
"Kepler-544 b","Kepler-544",0.1548200000,21.41616926000,0.000000,5.14000000,2.12000000,1.160000,1.220000,6206.00
"Kepler-1435 b","Kepler-1435",0.0545600000,4.45343281000,0.000000,0.56600000,0.86000000,1.210000,1.320000,6356.00
"Kepler-1559 b","Kepler-1559",0.0183500000,0.97191542800,0.000000,0.29900000,0.72000000,0.860000,0.820000,5316.00
"Kepler-1596 b","Kepler-1596",0.3237000000,66.37337900000,0.000000,4.27000000,1.90000000,0.950000,0.920000,5706.00
"Kepler-403 d","Kepler-403",0.1217800000,13.61159129000,0.000000,2.60000000,1.42000000,1.250000,1.450000,6209.00
"Kepler-1443 b","Kepler-1443",0.0378300000,2.41811321000,0.000000,0.87100000,0.97000000,1.190000,1.270000,6289.00
"Kepler-1438 b","Kepler-1438",0.0346000000,2.31942009000,0.000000,0.77900000,0.94000000,0.970000,0.960000,5530.00
"Kepler-1561 b","Kepler-1561",0.0194000000,1.00520700700,0.000000,1.32000000,1.09000000,1.070000,1.110000,5957.00
"Kepler-1598 b","Kepler-1598",0.0520700000,4.34195123000,0.000000,0.80900000,0.95000000,1.070000,1.090000,5940.00
"Kepler-1445 b","Kepler-1445",0.0958700000,10.60052251000,0.000000,0.84000000,0.96000000,1.130000,1.260000,6150.00
"Kepler-1564 b","Kepler-1564",0.1327000000,18.05403810000,0.000000,2.76000000,1.47000000,0.930000,0.900000,5528.00
"Kepler-1563 b","Kepler-1563",0.0442000000,3.43276598000,0.000000,0.34700000,0.75000000,1.000000,0.990000,5765.00
"Kepler-1565 b","Kepler-1565",0.0241000000,1.53818843700,0.000000,1.81000000,1.19000000,0.760000,0.730000,4940.00
"Kepler-1602 b","Kepler-1602",0.0974400000,11.17931605000,0.000000,2.36000000,1.34000000,1.220000,1.360000,6296.00
"Kepler-1448 b","Kepler-1448",0.1058000000,12.27065865000,0.000000,3.22000000,1.61000000,0.950000,0.930000,5774.00
"Kepler-1449 b","Kepler-1449",0.1176000000,13.22745280000,0.000000,3.46000000,1.68000000,1.080000,1.100000,5979.00
"Kepler-1566 b","Kepler-1566",0.0119800000,0.53991523800,0.000000,0.41800000,0.79000000,0.840000,0.810000,5254.00
"Kepler-1603 b","Kepler-1603",0.0351000000,2.27163926000,0.000000,2.21000000,1.29000000,1.210000,1.310000,6241.00
"Kepler-1450 b","Kepler-1450",0.2401000000,54.50941660000,0.000000,3.57000000,1.71000000,0.710000,0.680000,4524.00
"Kepler-603 d","Kepler-603",0.0711700000,6.21712920000,0.000000,2.30000000,1.32000000,1.010000,1.010000,5808.00
"Kepler-605 c","Kepler-605",0.0333600000,2.35895151500,0.000000,0.56600000,0.86000000,0.910000,0.880000,5462.00
"Kepler-1568 b","Kepler-1568",0.1515700000,20.92539200000,0.000000,2.24000000,1.30000000,1.090000,1.190000,5956.00
"Kepler-1606 b","Kepler-1606",0.6421000000,196.43522400000,0.000000,4.94000000,2.07000000,0.900000,0.860000,5422.00
"Kepler-1571 b","Kepler-1571",0.0428700000,3.38555488000,0.000000,2.92000000,1.52000000,1.230000,1.390000,6297.00
"Kepler-1570 b","Kepler-1570",0.1669900000,26.54895500000,0.000000,1.24000000,1.07000000,0.920000,0.890000,5550.00
"Kepler-1572 b","Kepler-1572",0.0583800000,5.49548621000,0.000000,0.77900000,0.94000000,0.970000,0.950000,5618.00
"Kepler-1607 b","Kepler-1607",0.1197800000,13.64736760000,0.000000,0.72100000,0.92000000,1.140000,1.210000,6116.00
"Kepler-1609 b","Kepler-1609",0.4679000000,114.34219000000,0.000000,5.56000000,2.22000000,1.180000,1.270000,6132.00
"Kepler-1457 b","Kepler-1457",0.2639100000,51.11102430000,0.000000,4.62000000,1.99000000,1.010000,1.010000,5866.00
"Kepler-217 d","Kepler-217",0.0534000000,3.88689525000,0.000000,2.30000000,1.32000000,1.370000,1.760000,6341.00
"Kepler-625 c","Kepler-625",0.0537900000,4.16536510000,0.000000,1.16000000,1.05000000,1.040000,0.960000,5789.00
"Kepler-653 c","Kepler-653",0.0185500000,0.90037647600,0.000000,0.39900000,0.78000000,1.020000,1.190000,5665.00
"Kepler-1575 b","Kepler-1575",0.0366000000,2.55314213000,0.000000,2.27000000,1.31000000,0.950000,0.920000,5667.00
"Kepler-578 b","Kepler-578",0.0266000000,1.61688369600,0.000000,4.66000000,2.00000000,0.870000,0.830000,5334.00
"Kepler-1461 b","Kepler-1461",0.1715000000,29.34947750000,0.000000,4.78000000,2.03000000,0.790000,0.740000,4919.00
